Globaler Seed auf 42 gesetzt.
Log file initialized at: results/logs/run_pipeline/train_dpo_20260829_192809.log
Aktuelles Arbeitsverzeichnis: /home/fisc4884/master-thesis
Nutze Device: cuda
Lade Basis-SFT-Modell und Tokenizer aus: results/models/token_length_exp/sft_len1024...
================================================================================
[SPRACHCODE-KONTROLLE] Tokenizer für mBART erfolgreich konfiguriert:
  -> src_lang: de_DE
  -> tgt_lang: de_DE
  -> de_DE Token-ID: 250003
  -> Test-Target Enkodierung (Token IDs): [250003, 8647, 2]
================================================================================
Lade Basismodell 'facebook/mbart-large-50' fuer SFT-Adapter...
Lade und verschmelze (merge_and_unload) SFT-LoRA-Adapter aus: results/models/token_length_exp/sft_len1024...
[ERFOLG] SFT-Adapter erfolgreich in Basisgewichte integriert (SFT ist nun die Basis fuer DPO)!
Konfiguriere DPO-LoRA auf Basis des SFT-Modells (r=16, alpha=32, dropout=0.05, targets=['q_proj', 'v_proj', 'k_proj', 'out_proj', 'fc1', 'fc2'])...
trainable params: 8,650,752 || all params: 619,530,240 || trainable%: 1.3963
Lade DPO-Präferenzdatensatz aus: data/token_length_exp/dpo_pairs_len1024.jsonl
Erfolgreich geladen: 7788 Präferenz-Paare.
Lade DPO-Präferenzdatensatz aus: data/token_length_exp/dpo_pairs_len1024_eval.jsonl
Erfolgreich geladen: 1375 Präferenz-Paare.
Validierungsset initialisiert: 1375 Paare (1375 Batches).

================================================================================
=== Starte DPO Training (3 Epochen | Beta=0.1 | LR=5e-06) ===
================================================================================


DPO Epoche 1/3:   0%|          | 0/7788 [00:00<?, ?it/s]
DPO Epoche 1/3:   0%|          | 0/7788 [00:00<?, ?it/s, Loss=0.5684, Acc=1.00, Margin=0.267]
DPO Epoche 1/3:   0%|          | 1/7788 [00:00<1:04:18,  2.02it/s, Loss=0.5684, Acc=1.00, Margin=0.267]
DPO Epoche 1/3:   0%|          | 1/7788 [00:00<1:04:18,  2.02it/s, Loss=0.0144, Acc=1.00, Margin=4.233]
DPO Epoche 1/3:   0%|          | 2/7788 [00:00<56:11,  2.31it/s, Loss=0.0144, Acc=1.00, Margin=4.233]  
DPO Epoche 1/3:   0%|          | 2/7788 [00:01<56:11,  2.31it/s, Loss=0.4221, Acc=1.00, Margin=0.644]
DPO Epoche 1/3:   0%|          | 3/7788 [00:01<54:47,  2.37it/s, Loss=0.4221, Acc=1.00, Margin=0.644]
DPO Epoche 1/3:   0%|          | 3/7788 [00:01<54:47,  2.37it/s, Loss=0.2733, Acc=1.00, Margin=1.157]
DPO Epoche 1/3:   0%|          | 4/7788 [00:01<54:23,  2.38it/s, Loss=0.2733, Acc=1.00, Margin=1.157]
DPO Epoche 1/3:   0%|          | 4/7788 [00:02<54:23,  2.38it/s, Loss=0.0844, Acc=1.00, Margin=2.430]
DPO Epoche 1/3:   0%|          | 5/7788 [00:02<52:51,  2.45it/s, Loss=0.0844, Acc=1.00, Margin=2.430]
DPO Epoche 1/3:   0%|          | 5/7788 [00:02<52:51,  2.45it/s, Loss=0.0289, Acc=1.00, Margin=3.531]
DPO Epoche 1/3:   0%|          | 6/7788 [00:02<52:49,  2.46it/s, Loss=0.0289, Acc=1.00, Margin=3.531]
DPO Epoche 1/3:   0%|          | 6/7788 [00:02<52:49,  2.46it/s, Loss=0.5948, Acc=1.00, Margin=0.207]
DPO Epoche 1/3:   0%|          | 7/7788 [00:02<53:02,  2.44it/s, Loss=0.5948, Acc=1.00, Margin=0.207]
DPO Epoche 1/3:   0%|          | 7/7788 [00:03<53:02,  2.44it/s, Loss=1.0760, Acc=0.00, Margin=-0.659]
DPO Epoche 1/3:   0%|          | 8/7788 [00:03<53:11,  2.44it/s, Loss=1.0760, Acc=0.00, Margin=-0.659]
DPO Epoche 1/3:   0%|          | 8/7788 [00:03<53:11,  2.44it/s, Loss=0.2561, Acc=1.00, Margin=1.231] 
DPO Epoche 1/3:   0%|          | 9/7788 [00:03<53:07,  2.44it/s, Loss=0.2561, Acc=1.00, Margin=1.231]
DPO Epoche 1/3:   0%|          | 9/7788 [00:04<53:07,  2.44it/s, Loss=0.6743, Acc=1.00, Margin=0.038]
DPO Epoche 1/3:   0%|          | 10/7788 [00:04<53:09,  2.44it/s, Loss=0.6743, Acc=1.00, Margin=0.038]
DPO Epoche 1/3:   0%|          | 10/7788 [00:04<53:09,  2.44it/s, Loss=1.5848, Acc=0.00, Margin=-1.355]
DPO Epoche 1/3:   0%|          | 11/7788 [00:04<53:16,  2.43it/s, Loss=1.5848, Acc=0.00, Margin=-1.355]
DPO Epoche 1/3:   0%|          | 11/7788 [00:04<53:16,  2.43it/s, Loss=0.5965, Acc=1.00, Margin=0.204] 
DPO Epoche 1/3:   0%|          | 12/7788 [00:04<53:10,  2.44it/s, Loss=0.5965, Acc=1.00, Margin=0.204]
DPO Epoche 1/3:   0%|          | 12/7788 [00:05<53:10,  2.44it/s, Loss=0.5375, Acc=1.00, Margin=0.340]
DPO Epoche 1/3:   0%|          | 13/7788 [00:05<53:08,  2.44it/s, Loss=0.5375, Acc=1.00, Margin=0.340]
DPO Epoche 1/3:   0%|          | 13/7788 [00:05<53:08,  2.44it/s, Loss=0.5311, Acc=1.00, Margin=0.356]
DPO Epoche 1/3:   0%|          | 14/7788 [00:05<53:15,  2.43it/s, Loss=0.5311, Acc=1.00, Margin=0.356]
DPO Epoche 1/3:   0%|          | 14/7788 [00:06<53:15,  2.43it/s, Loss=0.2138, Acc=1.00, Margin=1.434]
DPO Epoche 1/3:   0%|          | 15/7788 [00:06<53:10,  2.44it/s, Loss=0.2138, Acc=1.00, Margin=1.434]
DPO Epoche 1/3:   0%|          | 15/7788 [00:06<53:10,  2.44it/s, Loss=0.7471, Acc=0.00, Margin=-0.105]
DPO Epoche 1/3:   0%|          | 16/7788 [00:06<57:13,  2.26it/s, Loss=0.7471, Acc=0.00, Margin=-0.105]
DPO Epoche 1/3:   0%|          | 16/7788 [00:07<57:13,  2.26it/s, Loss=0.1080, Acc=1.00, Margin=2.171] 
DPO Epoche 1/3:   0%|          | 17/7788 [00:07<55:31,  2.33it/s, Loss=0.1080, Acc=1.00, Margin=2.171]
DPO Epoche 1/3:   0%|          | 17/7788 [00:07<55:31,  2.33it/s, Loss=0.4427, Acc=1.00, Margin=0.585]
DPO Epoche 1/3:   0%|          | 18/7788 [00:07<54:51,  2.36it/s, Loss=0.4427, Acc=1.00, Margin=0.585]
DPO Epoche 1/3:   0%|          | 18/7788 [00:07<54:51,  2.36it/s, Loss=1.1725, Acc=0.00, Margin=-0.802]
DPO Epoche 1/3:   0%|          | 19/7788 [00:07<54:23,  2.38it/s, Loss=1.1725, Acc=0.00, Margin=-0.802]
DPO Epoche 1/3:   0%|          | 19/7788 [00:08<54:23,  2.38it/s, Loss=0.2242, Acc=1.00, Margin=1.381] 
DPO Epoche 1/3:   0%|          | 20/7788 [00:08<54:01,  2.40it/s, Loss=0.2242, Acc=1.00, Margin=1.381]
DPO Epoche 1/3:   0%|          | 20/7788 [00:08<54:01,  2.40it/s, Loss=2.5542, Acc=0.00, Margin=-2.473]
DPO Epoche 1/3:   0%|          | 21/7788 [00:08<53:42,  2.41it/s, Loss=2.5542, Acc=0.00, Margin=-2.473]
DPO Epoche 1/3:   0%|          | 21/7788 [00:09<53:42,  2.41it/s, Loss=0.1747, Acc=1.00, Margin=1.656] 
DPO Epoche 1/3:   0%|          | 22/7788 [00:09<52:41,  2.46it/s, Loss=0.1747, Acc=1.00, Margin=1.656]
DPO Epoche 1/3:   0%|          | 22/7788 [00:09<52:41,  2.46it/s, Loss=2.5766, Acc=0.00, Margin=-2.498]
DPO Epoche 1/3:   0%|          | 23/7788 [00:09<51:52,  2.49it/s, Loss=2.5766, Acc=0.00, Margin=-2.498]
DPO Epoche 1/3:   0%|          | 23/7788 [00:09<51:52,  2.49it/s, Loss=0.1941, Acc=1.00, Margin=1.541] 
DPO Epoche 1/3:   0%|          | 24/7788 [00:09<52:11,  2.48it/s, Loss=0.1941, Acc=1.00, Margin=1.541]
DPO Epoche 1/3:   0%|          | 24/7788 [00:10<52:11,  2.48it/s, Loss=0.3450, Acc=1.00, Margin=0.887]
DPO Epoche 1/3:   0%|          | 25/7788 [00:10<52:27,  2.47it/s, Loss=0.3450, Acc=1.00, Margin=0.887]
DPO Epoche 1/3:   0%|          | 25/7788 [00:10<52:27,  2.47it/s, Loss=0.6408, Acc=1.00, Margin=0.108]
DPO Epoche 1/3:   0%|          | 26/7788 [00:10<52:39,  2.46it/s, Loss=0.6408, Acc=1.00, Margin=0.108]
DPO Epoche 1/3:   0%|          | 26/7788 [00:11<52:39,  2.46it/s, Loss=1.0546, Acc=0.00, Margin=-0.626]
DPO Epoche 1/3:   0%|          | 27/7788 [00:11<52:48,  2.45it/s, Loss=1.0546, Acc=0.00, Margin=-0.626]
DPO Epoche 1/3:   0%|          | 27/7788 [00:11<52:48,  2.45it/s, Loss=1.2092, Acc=0.00, Margin=-0.855]
DPO Epoche 1/3:   0%|          | 28/7788 [00:11<52:54,  2.44it/s, Loss=1.2092, Acc=0.00, Margin=-0.855]
DPO Epoche 1/3:   0%|          | 28/7788 [00:11<52:54,  2.44it/s, Loss=0.6991, Acc=0.00, Margin=-0.012]
DPO Epoche 1/3:   0%|          | 29/7788 [00:11<52:51,  2.45it/s, Loss=0.6991, Acc=0.00, Margin=-0.012]
